序号,收寄省,收寄市,寄达省,寄达市,线路,高德里程,四象限线路类型,线路类别,"特快标准
24,湖北省,黄冈市,河南省,焦作市,黄冈市焦作市,661,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.0 ,3.3 ,0.7 ,482,黄冈市-武汉市-洛阳市-焦作市,黄冈市-武汉市-漯河市-焦作市,1.5 ,58.1 ,2.1 ,26.3 ,-2.8 ,0.6%,0.6%,97.6%,15.4%,T+2.5,0.1 ,T+1.0,-0.2 ,7.3 ,1.2 ,19.1 ,0.3 ,9.4 ,-0.5 ,19.1 ,0.7 ,3.2 ,0.4 ,42,3.5 ,6.2 ,6.6 ,8.5 ,1.5 ,-97.0%,,,,,,,1,,100,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,陕西省,咸阳市,山西省,运城市,咸阳市运城市,267,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.2 ,2.2 ,2.0 ,149,咸阳市-西安市-侯马市-运城市,咸阳市-西安市-运城市,1.1 ,49.3 ,0.6 ,20.9 ,-2.8 ,1.3%,-3.5%,98.2%,6.8%,T+2.1,0.0 ,T+1.0,-0.1 ,2.6 ,1.0 ,12.9 ,-0.3 ,7.0 ,-0.1 ,21.6 ,1.0 ,5.3 ,-0.8 ,218,2.4 ,7.5 ,4.3 ,3.7 ,3.0 ,-96.9%,,,,,,,,,700,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,安徽省,池州市,江苏省,连云港市,池州市连云港市,557,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.8 ,2.4 ,2.4 ,688,池州市-芜湖市-南京市-连云港市,池州市-芜湖市-连云港市,1.1 ,52.3 ,-0.7 ,21.1 ,-1.7 ,3.2%,-3.7%,100.0%,2.6%,T+2.1,0.0 ,T+1.0,0.0 ,2.2 ,0.3 ,11.4 ,-0.4 ,4.2 ,0.6 ,31.2 ,-1.4 ,3.4 ,0.2 ,68,2.4 ,5.9 ,7.1 ,3.5 ,2.3 ,-96.8%,,1,,,,,,,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,河南省,漯河市,山西省,长治市,漯河市长治市,375,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,5.8 ,2.2 ,3.6 ,60,漯河市-郑州市-太原市-长治市,漯河市-长治市,1.0 ,47.7 ,-2.3 ,20.8 ,-1.3 ,3.3%,3.3%,100.0%,3.4%,T+2.0,0.0 ,T+1.0,0.0 ,1.0 ,-0.3 ,12.0 ,-1.4 ,8.4 ,0.4 ,22.3 ,-1.2 ,4.0 ,0.3 ,88,2.1 ,5.0 ,6.3 ,4.4 ,2.8 ,-96.7%,,,,,,,,,500,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,山东省,东营市,河北省,唐山市,东营市唐山市,385,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.4 ,3.0 ,1.3 ,331,东营市-济南市-唐山市,东营市-滨州市-济南市-唐山市,1.2 ,51.2 ,-2.4 ,23.8 ,-13.1 ,3.3%,-0.6%,100.0%,49.3%,T+2.2,-0.1 ,T+1.0,-0.7 ,1.8 ,-0.2 ,13.5 ,0.6 ,7.7 ,-2.2 ,23.5 ,0.3 ,4.7 ,-0.8 ,44,2.0 ,11.2 ,6.4 ,2.6 ,1.6 ,-96.7%,,,,,,,,,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,广东省,珠海市,广西壮族自治区,北海市,珠海市北海市,565,-,省际,2,1,落后,落后,2,1,落后,落后,1,5.0 ,3.0 ,2.0 ,"2,297",珠海市-深圳市-南京市-南宁市-北海市,珠海市-江门市-北海市,1.4 ,53.2 ,-2.3 ,24.4 ,-11.3 ,1.4%,1.0%,98.1%,41.6%,T+2.4,-0.1 ,T+1.0,-0.5 ,1.0 ,0.1 ,11.9 ,-4.1 ,11.2 ,-0.9 ,18.3 ,0.6 ,10.9 ,2.2 ,54,2.5 ,9.8 ,7.7 ,2.7 ,1.7 ,-96.7%,,,,,,,,,100,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,辽宁省,朝阳市,河北省,张家口市,朝阳市张家口市,635,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.7 ,4.0 ,0.7 ,72,朝阳市-锦州市-廊坊市-张家口市,朝阳市-锦州市-北京市-张家口市,2.1 ,73.7 ,7.3 ,26.0 ,-12.4 ,0.0%,-0.7%,96.7%,35.0%,T+3.1,0.3 ,T+1.0,-0.5 ,5.8 ,2.6 ,18.1 ,1.8 ,8.5 ,-4.5 ,33.4 ,4.5 ,7.9 ,2.8 ,30,1.8 ,7.2 ,13.0 ,2.3 ,1.8 ,-96.7%,,,,,,,,,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,安徽省,池州市,江西省,抚州市,池州市抚州市,408,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.6 ,4.1 ,-0.5 ,341,池州市-安庆市-鹰潭市-抚州市,池州市-芜湖市-南昌市-抚州市,1.2 ,52.9 ,-1.9 ,26.6 ,-0.6 ,1.8%,0.1%,98.2%,8.4%,T+2.3,-0.1 ,T+1.0,-0.1 ,2.5 ,0.4 ,15.5 ,-2.1 ,6.2 ,-0.8 ,26.6 ,0.3 ,2.2 ,0.3 ,55,2.9 ,6.9 ,7.2 ,8.1 ,1.5 ,-96.4%,,,,,,,,,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,山西省,晋城市,河南省,安阳市,晋城市安阳市,244,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.9 ,4.0 ,-0.1 ,"2,314",晋城市-太原市-郑州市-安阳市,晋城市-郑州市-安阳市,1.1 ,50.0 ,-1.4 ,26.8 ,-2.0 ,1.5%,0.2%,97.8%,13.0%,T+2.1,0.0 ,T+1.0,-0.1 ,5.1 ,0.0 ,14.1 ,-0.4 ,8.6 ,0.3 ,18.2 ,-1.0 ,4.0 ,-0.3 ,45,6.1 ,2.9 ,3.8 ,11.6 ,2.3 ,-96.3%,,,,,,,,,100,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,江苏省,盐城市,山东省,日照市,盐城市日照市,319,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.1 ,3.0 ,1.1 ,855,盐城市-济南市-青岛市-日照市,盐城市-连云港市-日照市,1.3 ,54.5 ,-1.4 ,21.3 ,-2.0 ,0.0%,-0.5%,96.3%,2.9%,T+2.3,0.0 ,T+1.0,0.0 ,2.4 ,0.0 ,15.8 ,1.2 ,7.1 ,-1.5 ,25.5 ,-1.0 ,3.8 ,0.0 ,54,2.5 ,10.7 ,2.9 ,3.2 ,2.0 ,-96.3%,,,,,,,,,100,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,江苏省,扬州市,河南省,焦作市,扬州市焦作市,765,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.0 ,3.1 ,0.9 ,"2,178",扬州市-郑州市-焦作市,扬州市-漯河市-焦作市,1.1 ,49.0 ,-1.6 ,28.3 ,-2.4 ,3.8%,1.0%,100.0%,15.4%,T+2.1,-0.1 ,T+1.0,-0.2 ,2.3 ,-0.1 ,14.4 ,0.2 ,11.9 ,-0.7 ,17.4 ,-0.9 ,3.1 ,0.0 ,103,3.2 ,7.8 ,8.2 ,7.7 ,1.4 ,-96.2%,,,,,,,,,200,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,安徽省,池州市,山东省,临沂市,池州市临沂市,643,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.1 ,2.8 ,1.3 ,"1,575",池州市-安庆市-济南市-临沂市,池州市-芜湖市-连云港市-临沂市,1.2 ,53.2 ,5.0 ,24.9 ,-0.2 ,0.4%,-7.5%,96.6%,8.1%,T+2.3,0.2 ,T+1.0,-0.1 ,3.0 ,0.5 ,15.8 ,-0.5 ,12.0 ,1.8 ,18.1 ,3.0 ,4.3 ,0.1 ,87,2.8 ,7.1 ,9.5 ,3.4 ,2.1 ,-96.2%,,,,,,,,,100,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,江苏省,连云港市,河南省,焦作市,连云港市焦作市,641,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.9 ,3.2 ,0.7 ,"1,476",连云港市-郑州市-焦作市,连云港市-郑州市-焦作市,1.0 ,48.8 ,1.2 ,30.0 ,0.8 ,1.0%,-0.1%,97.1%,0.7%,T+2.1,0.0 ,T+1.0,0.0 ,1.8 ,-0.1 ,9.3 ,0.6 ,9.9 ,-0.3 ,24.5 ,0.5 ,3.3 ,0.4 ,412,2.3 ,7.4 ,10.2 ,8.1 ,2.1 ,-96.1%,,,,,,,,,900,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,辽宁省,营口市,吉林省,辽源市,营口市辽源市,408,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.9 ,3.2 ,0.7 ,538,营口市-沈阳市-长春市-辽源市,营口市-沈阳市-辽源市,1.2 ,48.9 ,,21.5 ,,3.9%,,100.0%,,T+2.2,,T+1.0,,4.6 ,,15.7 ,,7.0 ,,18.5 ,,3.0 ,,34,1.7 ,10.3 ,4.7 ,2.6 ,2.3 ,-96.1%,,,,,,1,,,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,辽宁省,锦州市,吉林省,辽源市,锦州市辽源市,442,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.2 ,3.2 ,0.0 ,270,锦州市-长春市-辽源市,锦州市-盘锦市-沈阳市-辽源市,1.6 ,55.8 ,,25.3 ,,1.5%,,97.4%,,T+2.6,,T+1.0,,10.9 ,,13.3 ,,9.5 ,,19.1 ,,3.0 ,,38,2.3 ,11.2 ,5.0 ,3.5 ,3.3 ,-95.9%,,,,,,1,,,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,辽宁省,盘锦市,河北省,秦皇岛市,盘锦市秦皇岛市,282,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.8 ,3.0 ,1.8 ,98,盘锦市-廊坊市-秦皇岛市,盘锦市-沈阳市-秦皇岛市,1.5 ,58.2 ,-6.9 ,24.0 ,-2.0 ,4.1%,-1.8%,100.0%,8.4%,T+2.5,-0.2 ,T+1.0,-0.1 ,4.1 ,0.2 ,9.7 ,0.2 ,12.3 ,-4.0 ,25.3 ,-2.0 ,6.7 ,-1.5 ,116,2.3 ,10.0 ,7.1 ,3.2 ,1.4 ,-95.9%,,,,,,,,,400,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,吉林省,白城市,辽宁省,大连市,白城市大连市,1000,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4.1 ,3.3 ,0.8 ,87,白城市-长春市-沈阳市-大连市,白城市-长春市-大连市,1.4 ,60.8 ,-5.0 ,26.5 ,-2.2 ,1.2%,1.2%,97.1%,8.1%,T+2.5,-0.2 ,T+1.0,-0.1 ,3.3 ,-0.4 ,23.4 ,2.6 ,4.9 ,-0.5 ,23.1 ,-5.9 ,6.2 ,-0.7 ,104,1.5 ,11.4 ,9.4 ,3.0 ,1.2 ,-95.9%,,,,,,1,,,200,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,湖北省,黄石市,河南省,郑州市,黄石市郑州市,618,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.3 ,2.6 ,0.6 ,"14,786",黄石市-武汉市-郑州市,黄石市-鄂州市-郑州市,1.1 ,46.2 ,-0.4 ,26.1 ,-1.6 ,0.2%,-1.0%,96.0%,3.7%,T+2.1,0.0 ,T+1.0,-0.1 ,1.7 ,0.1 ,11.6 ,0.0 ,8.7 ,-0.1 ,16.4 ,0.2 ,8.0 ,-0.6 ,124,4.3 ,6.6 ,7.9 ,4.2 ,3.2 ,-95.8%,,,,,,,1,,300,533,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,安徽省,池州市,江苏省,盐城市,池州市盐城市,499,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.6 ,2.4 ,2.2 ,310,池州市-芜湖市-淮安市-盐城市,池州市-芜湖市-盐城市,1.1 ,49.5 ,3.1 ,23.7 ,-0.2 ,0.7%,-20.3%,96.3%,-1.2%,T+2.1,0.2 ,T+1.0,0.0 ,2.3 ,0.0 ,11.9 ,-0.2 ,4.6 ,0.5 ,27.3 ,2.6 ,3.3 ,0.1 ,161,2.4 ,6.7 ,6.8 ,5.3 ,2.5 ,-95.6%,,1,,,,,,,200,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,安徽省,池州市,江苏省,徐州市,池州市徐州市,538,-,省际,2,1,落后,落后,2,1,落后,落后,1,5.0 ,2.4 ,2.6 ,"1,404",池州市-芜湖市-淮安市-徐州市,池州市-芜湖市-徐州市,1.1 ,52.2 ,2.3 ,22.6 ,-1.3 ,3.3%,-10.5%,98.8%,1.3%,T+2.1,0.1 ,T+1.0,0.0 ,2.5 ,0.3 ,11.3 ,-0.4 ,4.6 ,0.1 ,28.4 ,1.3 ,5.5 ,1.1 ,162,3.0 ,6.8 ,7.2 ,3.4 ,2.2 ,-95.5%,,1,,,,,,,200,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,江苏省,泰州市,湖北省,仙桃市,泰州市仙桃市,801,-,省际,-,1,-,-,2,1,落后,落后,1,3.7 ,3.7 ,0.0 ,"1,251",泰州市-武汉市-仙桃市,泰州市-镇江市-武汉市-仙桃市,1.0 ,49.6 ,2.5 ,28.9 ,-6.1 ,3.7%,-6.6%,99.1%,37.7%,T+2.0,0.1 ,T+1.0,-0.4 ,2.4 ,-0.1 ,10.8 ,0.2 ,13.4 ,3.0 ,19.7 ,-0.8 ,3.3 ,0.1 ,113,3.6 ,6.4 ,9.4 ,7.5 ,2.1 ,-95.4%,,,,,,,,,200,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,辽宁省,营口市,天津市,天津市,营口市天津市,610,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,3.1 ,2.9 ,0.2 ,"3,930",营口市-沈阳市-天津市,营口市-锦州市-天津市,1.4 ,57.7 ,-5.8 ,25.9 ,-4.2 ,1.7%,-0.2%,97.0%,14.9%,T+2.4,-0.3 ,T+1.0,-0.2 ,4.5 ,-0.1 ,18.0 ,0.5 ,12.2 ,-6.9 ,12.0 ,-0.3 ,11.0 ,0.9 ,298,1.7 ,11.2 ,8.2 ,2.7 ,2.2 ,-95.3%,,,,,,,,,"1,500",143,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,吉林省,通化市,河北省,唐山市,通化市唐山市,803,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.6 ,3.0 ,1.6 ,196,通化市-沈阳市-廊坊市-唐山市,通化市-沈阳市-唐山市,1.7 ,62.9 ,-1.2 ,26.6 ,-1.4 ,3.6%,0.6%,98.9%,5.4%,T+2.7,-0.1 ,T+1.0,-0.1 ,1.9 ,0.5 ,12.5 ,2.0 ,23.6 ,-4.0 ,19.7 ,0.5 ,5.1 ,-0.3 ,89,2.4 ,1.7 ,17.0 ,4.1 ,1.3 ,-95.3%,,,,,,,,,200,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,江苏省,连云港市,河南省,鹤壁市,连云港市鹤壁市,590,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.9 ,3.1 ,0.8 ,156,连云港市-郑州市-鹤壁市,连云港市-郑州市-安阳市-鹤壁市,1.0 ,46.5 ,-1.3 ,30.4 ,0.5 ,0.0%,0.0%,95.3%,2.2%,T+2.0,-0.1 ,T+1.1,0.0 ,1.8 ,-0.8 ,9.0 ,-0.1 ,9.9 ,0.1 ,21.5 ,0.6 ,4.3 ,-1.1 ,148,2.3 ,7.4 ,10.1 ,8.6 ,1.9 ,-95.3%,,,,,,,,,100,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,黑龙江省,大庆市,辽宁省,铁岭市,大庆市铁岭市,578,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.3 ,2.9 ,1.4 ,123,大庆市-哈尔滨市-沈阳市-铁岭市,大庆市-哈尔滨市-沈阳市-铁岭市,1.4 ,56.4 ,,26.1 ,,0.0%,,95.2%,,T+2.4,,T+1.1,,6.9 ,,11.9 ,,9.7 ,,22.8 ,,5.2 ,,62,2.3 ,7.0 ,8.2 ,5.6 ,3.1 ,-95.2%,,,,,,1,,,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
