序号,收寄省,收寄市,寄达省,寄达市,线路,高德里程,四象限线路类型,线路类别,"特快标准
99,辽宁省,葫芦岛市,天津市,天津市,葫芦岛市天津市,418,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.9 ,2.8 ,1.1 ,"1,060",葫芦岛市-锦州市-廊坊市-天津市,葫芦岛市-锦州市-天津市,1.4 ,57.7 ,-10.5 ,23.5 ,-0.7 ,3.9%,-1.6%,96.9%,1.9%,T+2.4,-0.5 ,T+1.0,0.0 ,3.7 ,0.3 ,17.0 ,-0.3 ,16.0 ,-8.7 ,10.1 ,-1.7 ,10.9 ,-0.1 ,294,2.1 ,6.8 ,8.4 ,3.6 ,2.6 ,-93.0%,,,,,,,,,"1,500",44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,安徽省,六安市,山东省,日照市,六安市日照市,674,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.5 ,3.6 ,0.9 ,94,六安市-济南市-青岛市-日照市,六安市-合肥市-临沂市-日照市,1.2 ,55.3 ,-0.2 ,26.9 ,-4.6 ,0.0%,0.0%,92.9%,23.5%,T+2.2,0.0 ,T+1.1,-0.2 ,1.9 ,-0.2 ,12.0 ,-1.3 ,10.8 ,-0.9 ,26.2 ,1.4 ,4.5 ,1.0 ,70,2.1 ,8.7 ,7.5 ,6.6 ,1.9 ,-92.9%,,,,,,,,,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,广西壮族自治区,贺州市,广东省,珠海市,贺州市珠海市,389,-,省际,1,1,持平,持平,1,1,持平,持平,1,3.7 ,3.3 ,0.4 ,112,贺州市-广州市-珠海市,贺州市-广州市-珠海市,1.1 ,49.6 ,,21.0 ,,7.1%,,100.0%,,T+2.1,,T+1.0,,2.4 ,,8.4 ,,5.9 ,,27.0 ,,6.0 ,,30,2.7 ,3.6 ,5.4 ,6.1 ,3.3 ,-92.9%,,,,,,,,,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,江苏省,泰州市,山东省,日照市,泰州市日照市,408,-,省际,-,1,-,-,2,1,落后,落后,1,4.6 ,3.1 ,1.5 ,853,泰州市-济南市-青岛市-日照市,泰州市-连云港市-日照市,1.1 ,51.9 ,1.7 ,23.5 ,-2.0 ,0.0%,0.0%,92.9%,1.5%,T+2.2,0.0 ,T+1.1,0.0 ,1.7 ,-0.2 ,13.7 ,1.1 ,8.3 ,1.1 ,24.3 ,-0.8 ,3.9 ,0.4 ,99,1.7 ,12.5 ,3.6 ,3.5 ,2.2 ,-92.9%,,,,,,,,,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,湖南省,湘西土家族苗族自治州,江西省,南昌市,湘西土家族苗族自治州南昌市,746,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.4 ,3.3 ,0.1 ,631,湘西土家族苗族自治州-常德市-南昌市,湘西土家族苗族自治州-长沙市-南昌市,1.3 ,54.5 ,4.4 ,22.9 ,-2.1 ,7.1%,-15.2%,100.0%,4.3%,T+2.3,0.2 ,T+1.0,0.0 ,7.3 ,0.0 ,18.1 ,1.4 ,8.2 ,0.7 ,15.4 ,1.7 ,5.4 ,0.5 ,36,1.8 ,11.4 ,5.5 ,2.4 ,1.8 ,-92.9%,,,,,,,1,,100,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,湖北省,襄阳市,河南省,安阳市,襄阳市安阳市,567,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.6 ,3.5 ,0.1 ,865,襄阳市-郑州市-安阳市,襄阳市-郑州市-安阳市,1.4 ,56.4 ,-1.5 ,29.9 ,-9.1 ,0.6%,-0.4%,93.5%,33.0%,T+2.5,-0.1 ,T+1.1,-0.4 ,5.5 ,-0.5 ,16.4 ,-0.5 ,9.6 ,-0.4 ,20.0 ,0.1 ,4.8 ,-0.4 ,46,2.9 ,9.5 ,6.7 ,8.1 ,2.7 ,-92.9%,,,,,,,1,,100,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,辽宁省,本溪市,河北省,秦皇岛市,本溪市秦皇岛市,453,-,省际,2,1,落后,落后,2,1,落后,落后,1,5.3 ,2.9 ,2.4 ,72,本溪市-沈阳市-唐山市-秦皇岛市,本溪市-沈阳市-秦皇岛市,1.4 ,55.3 ,-12.5 ,22.8 ,-1.4 ,4.2%,4.2%,97.1%,4.4%,T+2.5,-0.5 ,T+1.0,0.0 ,6.1 ,0.5 ,14.0 ,-1.2 ,11.4 ,-3.8 ,18.5 ,-7.5 ,5.4 ,-0.5 ,68,1.5 ,9.5 ,7.2 ,3.1 ,1.5 ,-92.9%,,,,,,,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,安徽省,宣城市,湖北省,黄石市,宣城市黄石市,480,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.5 ,3.9 ,0.6 ,125,宣城市-芜湖市-武汉市-黄石市,宣城市-芜湖市-武汉市-鄂州市-黄石市,1.4 ,55.1 ,-0.6 ,27.0 ,-3.5 ,4.0%,0.9%,96.8%,10.8%,T+2.4,-0.1 ,T+1.0,-0.2 ,3.6 ,-0.6 ,17.5 ,-0.3 ,7.1 ,-0.1 ,23.0 ,0.4 ,4.0 ,0.1 ,63,2.7 ,7.6 ,8.0 ,6.9 ,1.8 ,-92.8%,,,,,,,,,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,湖南省,湘潭市,广东省,中山市,湘潭市中山市,723,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,3.9 ,3.1 ,0.8 ,"2,085",湘潭市-长沙市-中山市,湘潭市-清远市-中山市,1.2 ,52.1 ,-0.5 ,26.7 ,-4.4 ,3.0%,-1.8%,95.8%,18.2%,T+2.2,0.0 ,T+1.0,-0.2 ,4.1 ,0.3 ,13.7 ,0.9 ,11.4 ,-0.4 ,17.3 ,-1.6 ,5.6 ,0.2 ,213,4.1 ,4.8 ,8.8 ,6.2 ,2.7 ,-92.8%,,,,,,,,,400,73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,安徽省,蚌埠市,河南省,焦作市,蚌埠市焦作市,561,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.8 ,3.2 ,0.6 ,"1,792",蚌埠市-郑州市-焦作市,蚌埠市-漯河市-焦作市,1.1 ,50.7 ,,28.5 ,,5.1%,,97.9%,,T+2.1,,T+1.0,,3.8 ,,11.4 ,,10.5 ,,21.8 ,,3.2 ,,48,3.0 ,9.3 ,5.3 ,9.1 ,1.9 ,-92.8%,,,,,,,,,100,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,吉林省,四平市,辽宁省,鞍山市,四平市鞍山市,298,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4.3 ,3.9 ,0.4 ,"2,665",四平市-长春市-沈阳市-鞍山市,四平市-沈阳市-鞍山市,1.4 ,55.3 ,-1.5 ,26.9 ,-1.1 ,3.6%,0.7%,96.3%,0.9%,T+2.4,-0.1 ,T+1.0,0.0 ,8.6 ,-0.4 ,12.1 ,-0.5 ,6.1 ,-0.4 ,22.9 ,-0.4 ,5.6 ,0.1 ,164,3.6 ,3.3 ,4.3 ,10.1 ,5.7 ,-92.7%,,,,,,1,,,300,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,安徽省,宣城市,河南省,郑州市,宣城市郑州市,769,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.7 ,2.9 ,0.8 ,"3,045",宣城市-合肥市-郑州市,宣城市-芜湖市-郑州市,1.3 ,52.8 ,1.6 ,27.4 ,-0.7 ,5.6%,0.7%,98.3%,5.9%,T+2.3,0.1 ,T+1.0,-0.1 ,3.5 ,0.1 ,18.2 ,2.1 ,11.5 ,-0.6 ,14.2 ,0.0 ,5.4 ,-0.1 ,544,3.5 ,7.8 ,10.0 ,4.1 ,2.0 ,-92.7%,,,,,,,,,600,105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,河北省,邯郸市,河南省,鹤壁市,邯郸市鹤壁市,107,-,省际,-,1,-,-,-,1,-,-,1,3.5 ,2.3 ,1.2 ,145,邯郸市-郑州市-鹤壁市,邯郸市-安阳市-鹤壁市,1.3 ,53.9 ,4.2 ,22.4 ,-2.8 ,1.4%,-15.7%,94.1%,3.7%,T+2.4,0.2 ,T+1.1,0.0 ,8.1 ,-0.9 ,12.9 ,0.4 ,6.0 ,0.6 ,22.4 ,3.6 ,4.6 ,0.7 ,68,2.8 ,5.3 ,3.2 ,7.5 ,3.5 ,-92.7%,,,,,,,,,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,福建省,漳州市,广东省,汕尾市,漳州市汕尾市,379,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.7 ,3.2 ,0.5 ,880,漳州市-广州市-汕尾市,漳州市-揭阳市-汕尾市,1.2 ,53.5 ,0.1 ,26.2 ,-1.8 ,0.3%,-0.4%,92.9%,7.4%,T+2.3,0.1 ,T+1.1,-0.1 ,5.8 ,0.7 ,11.0 ,0.3 ,9.7 ,-0.3 ,22.6 ,0.2 ,4.5 ,-0.7 ,155,2.8 ,6.8 ,4.2 ,9.8 ,2.6 ,-92.6%,,,,,,,,,400,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,广西壮族自治区,北海市,广东省,茂名市,北海市茂名市,253,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.1 ,2.8 ,1.3 ,198,北海市-南宁市-广州市-茂名市,北海市-湛江市-茂名市,1.1 ,50.2 ,-4.5 ,24.5 ,-2.6 ,5.1%,3.4%,97.7%,14.2%,T+2.1,-0.2 ,T+1.0,-0.2 ,2.0 ,-0.3 ,15.0 ,-1.0 ,8.3 ,-0.9 ,20.5 ,-0.3 ,4.4 ,-2.0 ,88,3.9 ,6.4 ,5.4 ,5.7 ,3.0 ,-92.6%,,,,,,,,,200,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,江苏省,连云港市,山东省,菏泽市,连云港市菏泽市,435,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.9 ,3.0 ,0.9 ,"1,926",连云港市-济南市-菏泽市,连云港市-济南市-菏泽市,1.0 ,49.4 ,0.3 ,27.3 ,1.1 ,2.4%,1.1%,95.0%,-1.3%,T+2.1,0.0 ,T+1.1,0.0 ,1.7 ,0.0 ,9.9 ,0.7 ,6.2 ,-0.6 ,27.9 ,-0.1 ,3.7 ,0.2 ,"1,089",2.5 ,5.3 ,6.2 ,10.9 ,2.5 ,-92.6%,,,,,,,,,"1,600",122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,河南省,信阳市,安徽省,滁州市,信阳市滁州市,448,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.5 ,3.9 ,0.6 ,222,信阳市-郑州市-南京市-滁州市,信阳市-合肥市-滁州市,1.6 ,64.6 ,-3.0 ,24.3 ,-6.4 ,2.7%,-1.5%,95.3%,23.2%,T+2.7,-0.2 ,T+1.1,-0.3 ,8.1 ,0.3 ,19.6 ,0.9 ,22.3 ,-5.3 ,8.5 ,0.0 ,6.1 ,1.2 ,43,2.0 ,6.0 ,6.0 ,7.8 ,2.5 ,-92.6%,,,,,,,,,200,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,安徽省,滁州市,山东省,日照市,滁州市日照市,453,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.2 ,3.7 ,0.5 ,276,滁州市-南京市-青岛市-日照市,滁州市-南京市-连云港市-日照市,1.2 ,54.2 ,-0.7 ,27.1 ,-1.7 ,0.0%,-0.5%,92.5%,7.3%,T+2.3,0.0 ,T+1.1,-0.1 ,4.8 ,1.0 ,9.8 ,0.0 ,13.4 ,-0.6 ,22.7 ,-0.8 ,3.6 ,-0.1 ,80,2.3 ,4.5 ,12.4 ,5.6 ,2.3 ,-92.5%,,,,,,,,,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,江苏省,泰州市,山东省,济宁市,泰州市济宁市,548,-,省际,-,1,-,-,2,1,落后,落后,1,4.6 ,3.1 ,1.4 ,"2,188",泰州市-无锡市-临沂市-济宁市,泰州市-徐州市-济宁市,1.1 ,50.4 ,1.7 ,25.4 ,-8.8 ,5.7%,-2.7%,98.2%,49.8%,T+2.1,0.0 ,T+1.0,-0.5 ,1.8 ,-0.3 ,14.9 ,0.6 ,7.7 ,0.5 ,22.3 ,0.7 ,3.7 ,0.2 ,168,2.2 ,14.6 ,3.6 ,3.1 ,1.9 ,-92.5%,,,,,,,,,200,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,安徽省,铜陵市,山东省,淄博市,铜陵市淄博市,833,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.6 ,3.5 ,1.1 ,193,铜陵市-合肥市-济南市-淄博市,铜陵市-芜湖市-临沂市-淄博市,1.2 ,52.7 ,,27.0 ,,1.6%,,94.1%,,T+2.3,,T+1.1,,3.2 ,,15.3 ,,11.2 ,,18.4 ,,4.5 ,,34,2.7 ,5.7 ,8.9 ,7.5 ,2.2 ,-92.5%,,,,,,,,,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,河北省,秦皇岛市,辽宁省,铁岭市,秦皇岛市铁岭市,464,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.1 ,2.0 ,2.1 ,59,秦皇岛市-北京市-沈阳市-铁岭市,秦皇岛市-沈阳市-铁岭市,1.2 ,53.7 ,-3.6 ,21.9 ,1.0 ,5.1%,5.1%,97.5%,-2.5%,T+2.3,-0.2 ,T+1.0,0.0 ,4.2 ,-0.6 ,9.9 ,-2.4 ,15.7 ,0.2 ,19.5 ,1.3 ,4.5 ,-2.1 ,40,2.8 ,4.9 ,7.0 ,4.6 ,2.7 ,-92.4%,,,,,,,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,内蒙古自治区,通辽市,吉林省,辽源市,通辽市辽源市,390,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.5 ,3.1 ,1.4 ,86,通辽市-沈阳市-长春市-辽源市,通辽市-沈阳市-辽源市,1.6 ,58.3 ,-0.3 ,25.9 ,0.8 ,0.0%,0.0%,92.3%,-4.6%,T+2.6,0.0 ,T+1.1,0.1 ,11.1 ,-1.2 ,7.0 ,-0.4 ,20.0 ,-0.5 ,17.1 ,1.7 ,3.1 ,0.1 ,39,4.3 ,3.0 ,9.1 ,6.8 ,2.7 ,-92.3%,,,,,,,,,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,安徽省,滁州市,湖北省,仙桃市,滁州市仙桃市,600,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.9 ,3.9 ,0.0 ,"1,555",滁州市-合肥市-武汉市-仙桃市,滁州市-蚌埠市-武汉市-仙桃市,1.1 ,50.7 ,,28.7 ,,7.7%,,100.0%,,T+2.1,,T+1.0,,6.2 ,,11.6 ,,10.1 ,,19.7 ,,3.1 ,,36,4.3 ,7.6 ,8.1 ,6.7 ,2.0 ,-92.3%,,,,,,,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,安徽省,铜陵市,山东省,临沂市,铜陵市临沂市,589,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.0 ,2.9 ,1.1 ,"1,008",铜陵市-安庆市-济南市-临沂市,铜陵市-芜湖市-临沂市,1.2 ,52.2 ,,24.0 ,,2.4%,,94.7%,,T+2.3,,T+1.1,,3.5 ,,16.2 ,,11.0 ,,16.8 ,,4.8 ,,38,3.2 ,5.5 ,9.1 ,2.8 ,3.4 ,-92.3%,,,,,,,,,40,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,湖北省,襄阳市,江西省,南昌市,襄阳市南昌市,681,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.4 ,3.2 ,0.2 ,"1,093",襄阳市-武汉市-南昌市,襄阳市-武汉市-南昌市,1.4 ,55.2 ,-1.8 ,25.4 ,-0.9 ,2.6%,-0.9%,94.9%,3.9%,T+2.4,-0.1 ,T+1.1,0.0 ,5.4 ,-0.5 ,22.7 ,-0.4 ,7.0 ,-0.3 ,15.0 ,-0.5 ,5.1 ,-0.2 ,59,3.5 ,9.3 ,6.1 ,3.5 ,2.9 ,-92.3%,,,,,,,1,,200,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,江苏省,连云港市,山东省,青岛市,连云港市青岛市,254,劣势线路,省际,1,1,持平,持平,1,1,持平,持平,1,3.8 ,2.8 ,1.0 ,"2,721",连云港市-济南市-青岛市,连云港市-潍坊市-青岛市,1.0 ,47.2 ,-0.2 ,24.6 ,-0.1 ,7.7%,0.5%,99.9%,2.4%,T+2.0,0.0 ,T+1.0,0.0 ,1.7 ,-0.1 ,10.4 ,0.3 ,6.2 ,-0.4 ,24.6 ,0.2 ,4.3 ,-0.3 ,"3,027",2.3 ,4.7 ,6.4 ,9.2 ,2.0 ,-92.2%,,,,,,,,,"4,600",253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
